,Sampling p(meas = 1),# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit147.qasm,0.908470869120795,11.0,17.0,19.0,22.0,33.0,27.0,39.0,41.0,38.0,43.0,55.0
circuit148.qasm,0.20312500000000072,18.0,30.0,25.0,28.0,32.0,46.0,38.0,42.0,47.0,44.0,59.0
circuit150.qasm,0.6142766952966366,36.0,44.0,41.0,43.0,49.0,41.0,44.0,45.0,46.0,52.0,43.0
circuit151.qasm,0.9267766952966365,7.0,9.0,18.0,20.0,23.0,25.0,33.0,27.0,39.0,43.0,61.0
circuit152.qasm,0.7392766952966366,39.0,28.0,27.0,38.0,34.0,42.0,41.0,51.0,45.0,41.0,47.0
circuit154.qasm,0.6950825214724776,32.0,31.0,36.0,32.0,46.0,35.0,43.0,47.0,42.0,48.0,57.0
circuit155.qasm,0.618209948795454,30.0,38.0,40.0,44.0,34.0,36.0,48.0,46.0,44.0,49.0,59.0
circuit161.qasm,0.658293365334277,32.0,29.0,35.0,37.0,38.0,42.0,40.0,43.0,40.0,48.0,49.0
circuit164.qasm,0.9374999999999993,19.0,7.0,13.0,18.0,19.0,32.0,31.0,32.0,50.0,56.0,51.0
circuit165.qasm,0.6169575214724774,30.0,42.0,35.0,41.0,31.0,51.0,49.0,49.0,49.0,52.0,50.0
circuit166.qasm,0.2645145654396024,30.0,26.0,31.0,24.0,44.0,37.0,34.0,41.0,53.0,42.0,54.0
circuit172.qasm,0.6691941738241587,29.0,40.0,37.0,37.0,45.0,29.0,47.0,48.0,50.0,46.0,53.0
circuit173.qasm,0.28661165235168196,24.0,29.0,36.0,40.0,31.0,46.0,46.0,39.0,57.0,55.0,51.0
circuit174.qasm,0.9267766952966361,12.0,8.0,16.0,20.0,17.0,26.0,35.0,33.0,38.0,51.0,53.0
circuit178.qasm,0.3167512177912839,30.0,28.0,34.0,32.0,43.0,46.0,36.0,45.0,44.0,38.0,50.0
circuit180.qasm,0.6127736628323779,39.0,43.0,45.0,41.0,51.0,46.0,48.0,49.0,49.0,46.0,61.0
circuit181.qasm,0.8535533905932733,17.0,23.0,20.0,20.0,28.0,25.0,34.0,41.0,41.0,51.0,50.0
circuit182.qasm,0.6066941738241588,39.0,34.0,39.0,51.0,52.0,40.0,40.0,53.0,44.0,56.0,53.0
circuit186.qasm,0.25915291308792066,27.0,34.0,29.0,31.0,32.0,30.0,43.0,36.0,47.0,46.0,38.0
circuit191.qasm,0.6874999999999998,44.0,30.0,37.0,36.0,46.0,34.0,37.0,50.0,51.0,42.0,46.0
circuit197.qasm,0.7180222988241589,28.0,33.0,46.0,42.0,37.0,33.0,37.0,38.0,50.0,50.0,56.0
circuit200.qasm,0.66392369567995,29.0,29.0,45.0,34.0,37.0,41.0,44.0,56.0,49.0,43.0,45.0
circuit201.qasm,0.7271177172801987,32.0,21.0,29.0,37.0,37.0,30.0,47.0,40.0,46.0,47.0,48.0
circuit202.qasm,0.2995558261758411,33.0,34.0,44.0,48.0,41.0,56.0,44.0,41.0,39.0,46.0,50.0
circuit210.qasm,0.6483225107362383,27.0,32.0,41.0,45.0,43.0,42.0,35.0,50.0,50.0,47.0,48.0
circuit212.qasm,0.7163492924096971,35.0,31.0,41.0,39.0,35.0,40.0,35.0,42.0,48.0,48.0,38.0
circuit214.qasm,0.3986674785275226,40.0,43.0,45.0,44.0,49.0,54.0,51.0,44.0,51.0,37.0,58.0
circuit215.qasm,0.853553390593273,18.0,20.0,25.0,31.0,27.0,47.0,43.0,42.0,43.0,36.0,45.0
circuit216.qasm,0.8535533905932731,12.0,20.0,23.0,24.0,22.0,28.0,38.0,41.0,50.0,44.0,49.0
circuit224.qasm,0.294424152351682,28.0,25.0,29.0,23.0,36.0,46.0,55.0,39.0,51.0,44.0,46.0
circuit231.qasm,0.393305826175841,35.0,33.0,46.0,49.0,43.0,46.0,41.0,45.0,52.0,49.0,51.0
circuit232.qasm,0.37776213586401014,42.0,33.0,32.0,41.0,37.0,44.0,54.0,50.0,48.0,47.0,48.0
circuit234.qasm,0.6727891356084676,40.0,37.0,29.0,33.0,41.0,44.0,46.0,44.0,41.0,48.0,48.0
circuit237.qasm,0.7567496955521786,25.0,25.0,31.0,30.0,37.0,37.0,42.0,34.0,41.0,50.0,44.0
circuit240.qasm,0.37196025549589073,49.0,47.0,41.0,47.0,38.0,45.0,41.0,46.0,54.0,52.0,58.0
circuit241.qasm,0.12886848440672682,19.0,21.0,17.0,24.0,31.0,33.0,27.0,35.0,44.0,50.0,55.0
circuit242.qasm,0.7196978151840593,24.0,28.0,39.0,37.0,31.0,48.0,40.0,52.0,44.0,50.0,43.0
circuit243.qasm,0.6249999999999997,37.0,44.0,33.0,50.0,46.0,36.0,51.0,45.0,50.0,48.0,49.0
circuit244.qasm,0.24777913087920445,35.0,30.0,31.0,23.0,32.0,36.0,29.0,37.0,39.0,53.0,54.0
